Case ID,Case or evidence item,Country or region,Year,Accident or case date,Hazard or function type,Primary source type,Primary source URL,Archive or access information,Evidence level,P: Perception input,W: Warning interpretation,D: Task dispatch,A: Disposal action,V: Verification or closure,F: Feedback update,Response-chain score,P evidence,W evidence,D evidence,A evidence,V evidence,F evidence,Confidence,Limits on evidence use
S1-01,Inner Mongolia Alxa Xinjing open-pit coal mine collapse,China,2023,2023-02-22,Slope collapse / open-pit instability,Official accident investigation report,https://web.archive.org/web/20230829170829/https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2023dcbg_5532/202308/P020230829554887762749.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Slope-instability risk is documented, but a specific pre-accident alarm or closed-loop warning output is not treated as fully evidenced.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,Retained as A-level Chinese official investigation case.
S1-02,Guizhou Panzhou Shanjiaoshu Coal Mine fire,China,2023,2023-09-24,Belt fire / underground fire,National Mine Safety Administration accident case,https://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/sgcc/sgalks/202409/t20240919_501797.shtml,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official case describes monitoring/sensor defects, smoke sensor gaps, and distorted monitoring data.","Monitoring failure is explicit, while successful pre-accident alarm-to-response evidence is partial.","Emergency reporting, evacuation failure, and regulatory decision problems are described.",Accident response and rescue/disposal context are documented.,Official accident case verifies causes and management problems.,"Accountability actions, fines, license/standardization actions, and lessons support feedback.",High,Core S1 case; W kept at 0.5 to avoid overstating warning support.
S1-03,Chongqing Yongchuan Jinshangou Coal Mine gas explosion,China,2016,2016-10-31,Gas explosion,Official government notice / safety bulletin,https://www.gov.cn/xinwen/2016-11/01/content_5127269.htm,2026-06-20,B,1.0,0.5,1,1,1.0,1.0,0.917,Official/public materials identify gas accumulation and illegal mining conditions.,Gas-risk conditions are documented; no explicit pre-event alarm output is treated as full warning evidence.,"Government working group, command, shutdown, and rescue decisions are reported.","Ventilation, rescue, and underground search actions are reported.",Official post-accident bulletin/investigation material supports verification.,"Shutdown, rectification, notification, and accountability support feedback.",High,Retained with conservative W coding.
S1-04,Wangjialing coal mine flood,China,2010,2010-03-28,Water inrush / inundation,Official government rescue record,https://www.gov.cn/jrzg/2010-04/05/content_1574059.htm,2026-06-20,B,1.0,0.5,1,1,0.5,0.5,0.75,Official public record verifies water-inrush hazard and trapped-miner conditions.,No full pre-event warning chain is claimed; warning is coded only as partial hazard awareness.,Large-scale rescue command and response decisions are documented.,"Pumping, rescue, and underground search actions are documented.",Verification is limited to official event/rescue record rather than full closure evidence.,Feedback is partial because this row is used mainly for response-chain evidence.,Medium,Useful response-action case; not used to overclaim V/F.
S1-05,Soma mine disaster,Turkey,2014,2014-05-13,Mine fire / carbon monoxide poisoning,Peer-reviewed analysis plus public reports,https://doi.org/10.1016/j.ssci.2018.05.028,2026-06-20,C,1.0,0.5,1,1,1.0,1.0,0.917,Peer-reviewed/public analysis discusses fire/CO hazard context and operating conditions.,Warning-condition evidence is present but not coded as a formal alarm chain.,Emergency/rescue and state response decisions are documented.,Rescue/recovery actions are documented.,Expert/legal/investigation material supports verification.,Legal accountability and recommendations support feedback learning.,Medium,International comparison case; C-level source retained because it supports engineering safety discussion.
S1-06,Pike River Mine disaster,New Zealand,2010,2010-11-19,Methane explosion,Royal Commission final report,https://pikeriver.royalcommission.govt.nz/Final-Report,2026-06-20,A,1.0,1.0,1,1,1.0,1.0,1.0,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level international inquiry case.
S1-07,Upper Big Branch Mine-South disaster,United States,2010,2010-04-05,Coal dust / methane explosion,MSHA final investigation / official archived report,https://web.archive.org/web/20120111061901/http://www.msha.gov/PerformanceCoal/PerformanceCoal.asp,2026-06-20,A,1.0,1.0,1,1,1.0,1.0,1.0,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level MSHA case with strong enforcement and feedback evidence.
S1-08,Sago Mine disaster,United States,2006,2006-01-02,Explosion / entrapment,MSHA official archived investigation page,https://web.archive.org/web/20060318050346/http://www.msha.gov/sagomine/sagomine.asp,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,"Warning coded conservatively; strong response, verification, and learning evidence."
S1-09,Aracoma Alma Mine No. 1 fire,United States,2006,2006-01-19,Belt fire / carbon monoxide,MSHA final investigation report,https://web.archive.org/web/20160512203205/http://arlweb.msha.gov/Fatals/2006/Aracoma/FTL06c1415.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level MSHA report; W is partial unless alarm-to-action is explicitly cited in the manuscript.
S1-10,Darby Mine No. 1 disaster,United States,2006,2006-05-20,Methane explosion,MSHA final investigation report,https://arlweb.msha.gov/Fatals/2006/Darby/FTL06c2731.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level MSHA report retained.
S1-11,Crandall Canyon Mine disaster,United States,2007,2007-08-06,Ground fall / coal burst,MSHA official archived investigation page,https://web.archive.org/web/20070819232550/http://www.msha.gov/genwal/crandallcanyon.asp,2026-06-20,A,1.0,1.0,1,1,1.0,1.0,1.0,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level MSHA case with strong hazard-control and enforcement relevance.
S1-12,Jim Walter Resources No. 5 / Brookwood Mine disaster,United States,2001,2001-09-23,Methane / coal-dust explosions,MSHA final investigation record,https://www.msha.gov/data-and-reports/fatality-reports/search,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,Use MSHA report title in manuscript/source note if a direct PDF is cited.
S1-13,Quecreek No. 1 Mine inundation and rescue,United States,2002,2002-07-24,Water inundation / trapped miners,Pennsylvania DEP investigation report,https://web.archive.org/web/20040930001550/http://www.dep.state.pa.us/dep/deputate/minres/dms/website/accidents/quecreek/InvestigationReportFinal/InvestigationReportFinal.pdf,2026-06-20,A,1.0,1.0,1,1,1.0,1.0,1.0,"Maps, mine conditions, water breakthrough, and detection/communication during rescue support perception evidence.","Water-level, drilling, air-quality, and communication signals support warning/interpretation during response.","Rescue command, drilling strategy, pumping, and air-pocket decisions are documented.","Dewatering, drilling, ventilation/air supply, communication, and capsule rescue actions are documented.",Investigation report verifies causes and response pathway.,Investigation conclusions and prevention recommendations support feedback.,High,Strong positive closed-loop rescue case.
S1-14,Consol No. 9 / Farmington Mine disaster,United States,1968,1968-11-20,Explosion / underground fire,NIOSH historical disaster table and state mine-disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://minesafety.wv.gov/historical-statistical-data/wv-mine-disasters-1884-to-present,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case; P/W coded conservatively.
