candidate_id,identifier_provenance,record_provenance,final_case_id,case_title,hazard_type,country_or_region,event_year,source_title,source_url,source_type,source_quality_level,database_or_website,search_query,search_date,duplicate_status,eligibility_status,exclusion_reason,coding_status,notes,review_design,search_completeness
S1-01,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-01,Inner Mongolia Alxa Xinjing open-pit coal mine collapse,Slope collapse / open-pit instability,China,2023,NR,https://web.archive.org/web/20230829170829/https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2023dcbg_5532/202308/P020230829554887762749.pdf,Official accident investigation report,A,NR,NR,NR,NR,included,not applicable,coded once,Retained as A-level Chinese official investigation case.,public-record case selection; not a systematic review; not PRISMA,NR
S1-02,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-02,Guizhou Panzhou Shanjiaoshu Coal Mine fire,Belt fire / underground fire,China,2023,NR,https://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/sgcc/sgalks/202409/t20240919_501797.shtml,National Mine Safety Administration accident case,A,NR,NR,NR,NR,included,not applicable,coded once,Core S1 case; W kept at 0.5 to avoid overstating warning support.,public-record case selection; not a systematic review; not PRISMA,NR
S1-03,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-03,Chongqing Yongchuan Jinshangou Coal Mine gas explosion,Gas explosion,China,2016,NR,https://www.gov.cn/xinwen/2016-11/01/content_5127269.htm,Official government notice / safety bulletin,B,NR,NR,NR,NR,included,not applicable,coded once,Retained with conservative W coding.,public-record case selection; not a systematic review; not PRISMA,NR
S1-04,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-04,Wangjialing coal mine flood,Water inrush / inundation,China,2010,NR,https://www.gov.cn/jrzg/2010-04/05/content_1574059.htm,Official government rescue record,B,NR,NR,NR,NR,included,not applicable,coded once,Useful response-action case; not used to overclaim V/F.,public-record case selection; not a systematic review; not PRISMA,NR
S1-05,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-05,Soma mine disaster,Mine fire / carbon monoxide poisoning,Turkey,2014,NR,https://doi.org/10.1016/j.ssci.2018.05.028,Peer-reviewed analysis plus public reports,C,NR,NR,NR,NR,included,not applicable,coded once,International comparison case; C-level source retained because it supports engineering safety discussion.,public-record case selection; not a systematic review; not PRISMA,NR
S1-06,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-06,Pike River Mine disaster,Methane explosion,New Zealand,2010,NR,https://pikeriver.royalcommission.govt.nz/Final-Report,Royal Commission final report,A,NR,NR,NR,NR,included,not applicable,coded once,A-level international inquiry case.,public-record case selection; not a systematic review; not PRISMA,NR
S1-07,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-07,Upper Big Branch Mine-South disaster,Coal dust / methane explosion,United States,2010,NR,https://web.archive.org/web/20120111061901/http://www.msha.gov/PerformanceCoal/PerformanceCoal.asp,MSHA final investigation / official archived report,A,NR,NR,NR,NR,included,not applicable,coded once,A-level MSHA case with strong enforcement and feedback evidence.,public-record case selection; not a systematic review; not PRISMA,NR
S1-08,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-08,Sago Mine disaster,Explosion / entrapment,United States,2006,NR,https://web.archive.org/web/20060318050346/http://www.msha.gov/sagomine/sagomine.asp,MSHA official archived investigation page,A,NR,NR,NR,NR,included,not applicable,coded once,"Warning coded conservatively; strong response, verification, and learning evidence.",public-record case selection; not a systematic review; not PRISMA,NR
S1-09,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-09,Aracoma Alma Mine No. 1 fire,Belt fire / carbon monoxide,United States,2006,NR,https://web.archive.org/web/20160512203205/http://arlweb.msha.gov/Fatals/2006/Aracoma/FTL06c1415.pdf,MSHA final investigation report,A,NR,NR,NR,NR,included,not applicable,coded once,A-level MSHA report; W is partial unless alarm-to-action is explicitly cited in the manuscript.,public-record case selection; not a systematic review; not PRISMA,NR
S1-10,final case ID transcribed from Table S1,Table S1 Public_Cases,S1-10,Darby Mine No. 1 disaster,Methane explosion,United States,2006,NR,https://arlweb.msha.gov/Fatals/2006/Darby/FTL06c2731.pdf,MSHA final investigation report,A,NR,NR,NR,NR,included,not applicable,coded once,A-level MSHA report retained.,public-record case selection; not a systematic review; not PRISMA,NR
