Case ID,Source package member,Bytes,SHA256
S1-01,Final_Coder_Source_Package/S1-01/S1-01_Alxa_Official_Investigation_Report.pdf,2422923,6e3f6906e249ee2052213c7b0c1f7b91a3e28b0c5b99583dd773702da66dde84
S1-02,Final_Coder_Source_Package/S1-02/S1-02_Shanjiaoshu_NMSA_Official_Case.html,32845,fb3db20359b67913f0036b692c4cea5777134b01a62b490de379484702d502b5
S1-03,Final_Coder_Source_Package/S1-03/S1-03_Jinshangou_Official_Investigation_Report.pdf,999672,664567ada5ef51e27e67897b39650f736f99425997acae129c330a2887c464d7
S1-04,Final_Coder_Source_Package/S1-04/S1-04_Wangjialing_NMSA_Disposition_Notice.html,58848,1ca6a1d58f212e8a83d88f17bca1ddc41d0316cf518c3c57d3ec34526bd8b589
S1-05,Final_Coder_Source_Package/S1-05/S1-05_Soma_TBMM_Report_Part1.pdf,67062236,7cf9d5373db4ee6566de5151be37b88d23356f60c8979afb7b5b340e02bc4378
S1-05,Final_Coder_Source_Package/S1-05/S1-05_Soma_TBMM_Report_Part2.pdf,77357428,f60f912bf89e1744796fbb1eb814f5ffb3b9901dc8a5852b4a3ebc72fdd0385b
S1-06,Final_Coder_Source_Package/S1-06/S1-06_Pike_River_Royal_Commission_Final_Report_Volume_1.pdf,1487160,70ee56b78e343e358c82dd364bb2fb78899b7cc4ecbed8e0b94269caf2e88de1
S1-06,Final_Coder_Source_Package/S1-06/S1-06_Pike_River_Royal_Commission_Recommendations.html,21632,f5d8d876ca31f0ee6b2f58bfd702ef80e6b4fc697aaabcf3909d853a7fb8dc9b
S1-06,Final_Coder_Source_Package/S1-06/S1-06_Pike_River_Royal_Commission_Vol1_Part1.html,36991,2614c6eecaf43497e73ae1778e4d4f06f98e75c7a948bbae2a9d5a71e1dd52af
S1-06,Final_Coder_Source_Package/S1-06/S1-06_Pike_River_Royal_Commission_Vol1_Part2.html,34279,992ca6fb0653f15fe1cfd7b4954dea02c784c095aedd3d76da2d03cf9a51c07d
S1-07,Final_Coder_Source_Package/S1-07/S1-07_Upper_Big_Branch_MSHA_Final_Report.pdf,74951377,40d593ea729666341f06b5e31e345a09913b18515407de102079fdacfc75e7d0
S1-08,Final_Coder_Source_Package/S1-08/S1-08_Sago_MSHA_Final_Report.pdf,2437141,f633909379b0a10ad1689cf5dda7b0c85fc35eb3101475c6314d25888e036305
S1-09,Final_Coder_Source_Package/S1-09/S1-09_Aracoma_MSHA_Final_Report.pdf,1188253,3cd94fc40b92ce284fe1a8c3cf97a929595d61c6b254904b67fdc8c4d79a2223
S1-10,Final_Coder_Source_Package/S1-10/S1-10_Darby_MSHA_Final_Report.pdf,1037521,09cb8260e6740edb4c2c5f097925e68ae415d568e43b7995250ae6c409ae4e5f
S1-11,Final_Coder_Source_Package/S1-11/S1-11_Crandall_Canyon_MSHA_Archived_Investigation_Page.html,36623,15172127d8f00aba3612693b84a56675811301a57ce08923a742dd53658faeb2
S1-11,Final_Coder_Source_Package/S1-11/S1-11_Crandall_Canyon_MSHA_Full_Investigation_with_Appendices.pdf,42368670,63f9cd7cd8e8930aad58376421e9f340d06659f4cb2980291a32e8eb7aeaa531
S1-12,Final_Coder_Source_Package/S1-12/S1-12_Brookwood_MSHA_Final_Report.pdf,1733175,27d6c25b68061a0d8c1f2bcf8477e05158ef8bce65bb76e59b70049f720ed171
S1-13,Final_Coder_Source_Package/S1-13/S1-13_Quecreek_MSHA_Investigation_Report.pdf,7362746,9fb0f400f265775c5072ffd39eb0133a9fa05c07b0717d15a7310ba4e5a833e0
S1-13,Final_Coder_Source_Package/S1-13/S1-13_Quecreek_PA_DEP_Final_Report.pdf,163358,1fd544238030e566f29e68d3b54eadee31f42fcbbcb14e81f6237134918a9f70
S1-14,Final_Coder_Source_Package/S1-14/S1-14_Farmington_NIOSH_Technology_News_535.pdf,289728,56dd904355acf6a7fb87e275c463d000bfa2100ecb68bbbe5a86a68bd6ae4df9
S1-14,Final_Coder_Source_Package/S1-14/S1-14_Farmington_WV_Official_Historical_Record.html,82078,61a7b76cde042cec49a79b26d316c58c8089d1ef817a4568421650aae07bba5d
S1-15,Final_Coder_Source_Package/S1-15/S1-15_Westray_Official_Inquiry_Recommendations.html,65145,fa7d10856a2c59c4b2a43ae930f58a4bcf0e8611f7b67d5756aba1e0f4ec6c57
