Model,Method,Bin,Lower edge,Upper edge,N,Positive,Mean decision score,Observed positive fraction
Logistic Regression,fixed width 0.1,1,0,0.10000000000000001,4,0,0.08096232879893786,0
Logistic Regression,fixed width 0.1,2,0.10000000000000001,0.20000000000000001,129,0,0.18070273233196738,0
Logistic Regression,fixed width 0.1,3,0.20000000000000001,0.30000000000000004,204,6,0.25423475971866577,0.029411764705882353
Logistic Regression,fixed width 0.1,4,0.30000000000000004,0.40000000000000002,185,10,0.34442616885464572,0.054054054054054057
Logistic Regression,fixed width 0.1,5,0.40000000000000002,0.5,88,3,0.44636786064478517,0.034090909090909088
Logistic Regression,fixed width 0.1,6,0.5,0.60000000000000009,52,5,0.54452458605738563,0.096153846153846159
Logistic Regression,fixed width 0.1,7,0.60000000000000009,0.70000000000000007,35,7,0.64742430487084102,0.20000000000000001
Logistic Regression,fixed width 0.1,8,0.70000000000000007,0.80000000000000004,30,5,0.74628533137792552,0.16666666666666666
Logistic Regression,fixed width 0.1,9,0.80000000000000004,0.90000000000000002,29,10,0.85847368437724736,0.34482758620689657
Logistic Regression,fixed width 0.1,10,0.90000000000000002,1,20,5,0.95340613759169468,0.25
