Model,Metric,Point estimate,Lower 95% CI,Upper 95% CI,Resamples,Zero division convention count
Logistic Regression,ROC-AUC,0.78342123056118995,0.71799459093982421,0.84186747802569295,2000,0
Logistic Regression,PR-AUC,0.21425254046749942,0.15855600997585245,0.31934875555314696,2000,0
Logistic Regression,Recall,0.62745098039215685,0.49019607843137253,0.74509803921568629,2000,0
Logistic Regression,Precision,0.19277108433734941,0.1524390243902439,0.23353876662259893,2000,0
Logistic Regression,Brier Score,0.1716877862505807,0.15864997768395867,0.18507117954327604,2000,0
Random Forest,ROC-AUC,0.76179851250845165,0.68675693035835028,0.8324421906693712,2000,0
Random Forest,PR-AUC,0.24362702831417471,0.16418951732958842,0.36579649253348295,2000,0
Random Forest,Recall,0.15686274509803921,0.058823529411764705,0.25490196078431371,2000,0
Random Forest,Precision,0.30769230769230771,0.14285714285714285,0.47826086956521741,2000,0
Random Forest,Brier Score,0.064147938144329897,0.056913215206185572,0.071266585051546386,2000,0
Gradient Boosting,ROC-AUC,0.75138607167004734,0.67858891142663957,0.819236646382691,2000,0
Gradient Boosting,PR-AUC,0.25809209414169937,0.16923473665125527,0.39145749790287881,2000,0
Gradient Boosting,Recall,0.41176470588235292,0.27450980392156865,0.5490196078431373,2000,0
Gradient Boosting,Precision,0.20192307692307693,0.14282345013477088,0.26530612244897961,2000,0
Gradient Boosting,Brier Score,0.11001749011420484,0.099018204032961438,0.12109345086727594,2000,0
SVM,ROC-AUC,0.69606490872210947,0.6196220419202163,0.7711467207572682,2000,0
SVM,PR-AUC,0.17028322110882241,0.11679788140013544,0.27222639161936379,2000,0
SVM,Recall,0,0,0,2000,0
SVM,Precision,0,0,0,2000,2000
SVM,Brier Score,0.058711316131681804,0.056542645020761513,0.060916279274556985,2000,0
