Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases,FN:FP cost ratio,Weighted cost,Cost per test record,Scenario
Logistic Regression,0.01,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0,1,725,0.93427835051546393,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.02,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0,1,725,0.93427835051546393,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.029999999999999999,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0,1,725,0.93427835051546393,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.040000000000000001,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0,1,725,0.93427835051546393,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.050000000000000003,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0,1,725,0.93427835051546393,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.059999999999999998,51,724,1,0,0.067010309278350513,0.06580645161290323,1,0.12348668280871671,0.99862068965517237,775,0.99871134020618557,724,0,1,724,0.9329896907216495,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.070000000000000007,51,724,1,0,0.067010309278350513,0.06580645161290323,1,0.12348668280871671,0.99862068965517237,775,0.99871134020618557,724,0,1,724,0.9329896907216495,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.080000000000000002,51,723,2,0,0.068298969072164942,0.06589147286821706,1,0.12363636363636364,0.99724137931034484,774,0.99742268041237114,723,0,1,723,0.93170103092783507,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.089999999999999997,51,723,2,0,0.068298969072164942,0.06589147286821706,1,0.12363636363636364,0.99724137931034484,774,0.99742268041237114,723,0,1,723,0.93170103092783507,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.10000000000000001,51,721,4,0,0.070876288659793812,0.066062176165803108,1,0.12393681652490887,0.99448275862068969,772,0.99484536082474229,721,0,1,721,0.92912371134020622,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.11,51,718,7,0,0.074742268041237112,0.066319895968790635,1,0.12439024390243902,0.9903448275862069,769,0.990979381443299,718,0,1,718,0.92525773195876293,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.12,51,717,8,0,0.07603092783505154,0.06640625,1,0.12454212454212454,0.98896551724137927,768,0.98969072164948457,717,0,1,717,0.9239690721649485,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.13,51,716,9,0,0.077319587628865982,0.066492829204693613,1,0.12469437652811736,0.98758620689655174,767,0.98840206185567014,716,0,1,716,0.92268041237113407,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.14000000000000001,51,716,9,0,0.077319587628865982,0.066492829204693613,1,0.12469437652811736,0.98758620689655174,767,0.98840206185567014,716,0,1,716,0.92268041237113407,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.14999999999999999,51,715,10,0,0.078608247422680411,0.066579634464751958,1,0.12484700122399021,0.98620689655172411,766,0.98711340206185572,715,0,1,715,0.92139175257731953,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.16,51,714,11,0,0.079896907216494839,0.066666666666666666,1,0.125,0.98482758620689659,765,0.98582474226804129,714,0,1,714,0.92010309278350511,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.17000000000000001,51,706,19,0,0.090206185567010308,0.067371202113606338,1,0.12623762376237624,0.97379310344827585,757,0.97551546391752575,706,0,1,706,0.90979381443298968,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.17999999999999999,51,671,54,0,0.13530927835051546,0.070637119113573413,1,0.13195342820181113,0.92551724137931035,722,0.93041237113402064,671,0,1,671,0.86469072164948457,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.19,51,628,97,0,0.19072164948453607,0.07511045655375552,1,0.13972602739726028,0.86620689655172411,679,0.875,628,0,1,628,0.80927835051546393,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.20000000000000001,51,592,133,0,0.23711340206185566,0.079315707620528766,1,0.14697406340057637,0.81655172413793109,643,0.82860824742268047,592,0,1,592,0.76288659793814428,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.20999999999999999,51,567,158,0,0.26932989690721648,0.082524271844660199,1,0.15246636771300448,0.78206896551724137,618,0.79639175257731953,567,0,1,567,0.73067010309278346,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.22,51,558,167,0,0.28092783505154639,0.083743842364532015,1,0.15454545454545454,0.76965517241379311,609,0.78479381443298968,558,0,1,558,0.71907216494845361,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.23000000000000001,51,543,182,0,0.30025773195876287,0.085858585858585856,1,0.15813953488372093,0.74896551724137927,594,0.76546391752577314,543,0,1,543,0.69974226804123707,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.23999999999999999,51,527,198,0,0.32087628865979384,0.088235294117647065,1,0.16216216216216217,0.72689655172413792,578,0.74484536082474229,527,0,1,527,0.67912371134020622,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.25,49,501,224,2,0.35180412371134023,0.089090909090909096,0.96078431372549022,0.16306156405990016,0.69103448275862067,550,0.70876288659793818,501,2,1,503,0.64819587628865982,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.26000000000000001,49,484,241,2,0.37371134020618557,0.09193245778611632,0.96078431372549022,0.1678082191780822,0.66758620689655168,533,0.68685567010309279,484,2,1,486,0.62628865979381443,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.27000000000000002,49,467,258,2,0.39561855670103091,0.094961240310077522,0.96078431372549022,0.1728395061728395,0.6441379310344828,516,0.66494845360824739,467,2,1,469,0.60438144329896903,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.28000000000000003,47,445,280,4,0.42139175257731959,0.095528455284552852,0.92156862745098034,0.17311233885819521,0.61379310344827587,492,0.634020618556701,445,4,1,449,0.57860824742268047,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.28999999999999998,46,414,311,5,0.46005154639175255,0.10000000000000001,0.90196078431372551,0.18003913894324852,0.57103448275862068,460,0.59278350515463918,414,5,1,419,0.53994845360824739,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.29999999999999999,45,394,331,6,0.4845360824742268,0.10250569476082004,0.88235294117647056,0.18367346938775511,0.54344827586206901,439,0.56572164948453607,394,6,1,400,0.51546391752577314,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.31,44,367,358,7,0.51804123711340211,0.1070559610705596,0.86274509803921573,0.19047619047619047,0.50620689655172413,411,0.52963917525773196,367,7,1,374,0.48195876288659795,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.32000000000000001,41,347,378,10,0.53994845360824739,0.1056701030927835,0.80392156862745101,0.18678815489749431,0.4786206896551724,388,0.5,347,10,1,357,0.46005154639175255,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.33000000000000002,40,328,397,11,0.56314432989690721,0.10869565217391304,0.78431372549019607,0.1909307875894988,0.45241379310344826,368,0.47422680412371132,328,11,1,339,0.43685567010309279,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.34000000000000002,39,312,413,12,0.58247422680412375,0.1111111111111111,0.76470588235294112,0.19402985074626866,0.4303448275862069,351,0.45231958762886598,312,12,1,324,0.4175257731958763,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.34999999999999998,38,296,429,13,0.60180412371134018,0.11377245508982035,0.74509803921568629,0.19740259740259741,0.40827586206896554,334,0.43041237113402064,296,13,1,309,0.39819587628865977,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.35999999999999999,37,280,445,14,0.62113402061855671,0.1167192429022082,0.72549019607843135,0.20108695652173914,0.38620689655172413,317,0.40850515463917525,280,14,1,294,0.37886597938144329,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.37,37,262,463,14,0.64432989690721654,0.12374581939799331,0.72549019607843135,0.21142857142857144,0.36137931034482756,299,0.38530927835051548,262,14,1,276,0.35567010309278352,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.38,36,243,482,15,0.66752577319587625,0.12903225806451613,0.70588235294117652,0.21818181818181817,0.33517241379310347,279,0.3595360824742268,243,15,1,258,0.3324742268041237,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.39000000000000001,36,232,493,15,0.68170103092783507,0.13432835820895522,0.70588235294117652,0.22570532915360503,0.32000000000000001,268,0.34536082474226804,232,15,1,247,0.31829896907216493,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.40000000000000002,35,219,506,16,0.69716494845360821,0.13779527559055119,0.68627450980392157,0.22950819672131148,0.30206896551724138,254,0.32731958762886598,219,16,1,235,0.30283505154639173,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.40999999999999998,33,208,517,18,0.70876288659793818,0.13692946058091288,0.6470588235294118,0.22602739726027396,0.28689655172413792,241,0.31056701030927836,208,18,1,226,0.29123711340206188,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.41999999999999998,33,200,525,18,0.71907216494845361,0.14163090128755365,0.6470588235294118,0.23239436619718309,0.27586206896551724,233,0.30025773195876287,200,18,1,218,0.28092783505154639,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.42999999999999999,33,186,539,18,0.73711340206185572,0.15068493150684931,0.6470588235294118,0.24444444444444444,0.25655172413793104,219,0.28221649484536082,186,18,1,204,0.26288659793814434,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.44,33,182,543,18,0.74226804123711343,0.15348837209302327,0.6470588235294118,0.24812030075187969,0.25103448275862067,215,0.27706185567010311,182,18,1,200,0.25773195876288657,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.45000000000000001,33,173,552,18,0.75386597938144329,0.16019417475728157,0.6470588235294118,0.25680933852140075,0.23862068965517241,206,0.2654639175257732,173,18,1,191,0.24613402061855671,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.46000000000000002,33,165,560,18,0.76417525773195871,0.16666666666666666,0.6470588235294118,0.26506024096385544,0.22758620689655173,198,0.25515463917525771,165,18,1,183,0.23582474226804123,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.46999999999999997,33,158,567,18,0.77319587628865982,0.17277486910994763,0.6470588235294118,0.27272727272727271,0.21793103448275863,191,0.24613402061855671,158,18,1,176,0.22680412371134021,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.47999999999999998,32,152,573,19,0.77963917525773196,0.17391304347826086,0.62745098039215685,0.2723404255319149,0.20965517241379311,184,0.23711340206185566,152,19,1,171,0.22036082474226804,hypothetical; not empirically measured mine-specific costs
