Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases,FN:FP cost ratio,Weighted cost,Cost per test record,Scenario,Number of tied cutoffs,All tied cutoffs,Interpretation
Logistic Regression,0.98999999999999999,0,1,724,51,0.9329896907216495,0,0,0,0.0013793103448275861,1,0.001288659793814433,1,51,1,52,0.067010309278350513,hypothetical; not empirically measured mine-specific costs,1,0.99,descriptive minimum on the held-out test set; not an optimal deployment threshold
Random Forest,0.72999999999999998,4,1,724,47,0.93814432989690721,0.80000000000000004,0.078431372549019607,0.14285714285714285,0.0013793103448275861,5,0.0064432989690721646,1,47,1,48,0.061855670103092786,hypothetical; not empirically measured mine-specific costs,3,0.73;0.74;0.75,descriptive minimum on the held-out test set; not an optimal deployment threshold
Gradient Boosting,0.81999999999999995,6,5,720,45,0.93556701030927836,0.54545454545454541,0.11764705882352941,0.19354838709677419,0.0068965517241379309,11,0.014175257731958763,5,45,1,50,0.064432989690721643,hypothetical; not empirically measured mine-specific costs,3,0.82;0.84;0.88,descriptive minimum on the held-out test set; not an optimal deployment threshold
SVM,0.28000000000000003,0,0,725,51,0.93427835051546393,0,0,0,0,0,0,0,51,1,51,0.065721649484536085,hypothetical; not empirically measured mine-specific costs,72,0.28;0.29;0.30;0.31;0.32;0.33;0.34;0.35;0.36;0.37;0.38;0.39;0.40;0.41;0.42;0.43;0.44;0.45;0.46;0.47;0.48;0.49;0.50;0.51;0.52;0.53;0.54;0.55;0.56;0.57;0.58;0.59;0.60;0.61;0.62;0.63;0.64;0.65;0.66;0.67;0.68;0.69;0.70;0.71;0.72;0.73;0.74;0.75;0.76;0.77;0.78;0.79;0.80;0.81;0.82;0.83;0.84;0.85;0.86;0.87;0.88;0.89;0.90;0.91;0.92;0.93;0.94;0.95;0.96;0.97;0.98;0.99,descriptive minimum on the held-out test set; not an optimal deployment threshold
Logistic Regression,0.84999999999999998,13,24,701,38,0.92010309278350511,0.35135135135135137,0.25490196078431371,0.29545454545454547,0.03310344827586207,37,0.047680412371134018,24,38,2,100,0.12886597938144329,hypothetical; not empirically measured mine-specific costs,1,0.85,descriptive minimum on the held-out test set; not an optimal deployment threshold
Random Forest,0.72999999999999998,4,1,724,47,0.93814432989690721,0.80000000000000004,0.078431372549019607,0.14285714285714285,0.0013793103448275861,5,0.0064432989690721646,1,47,2,95,0.12242268041237113,hypothetical; not empirically measured mine-specific costs,3,0.73;0.74;0.75,descriptive minimum on the held-out test set; not an optimal deployment threshold
Gradient Boosting,0.75,15,22,703,36,0.92525773195876293,0.40540540540540543,0.29411764705882354,0.34090909090909088,0.030344827586206897,37,0.047680412371134018,22,36,2,94,0.1211340206185567,hypothetical; not empirically measured mine-specific costs,4,0.75;0.77;0.78;0.79,descriptive minimum on the held-out test set; not an optimal deployment threshold
SVM,0.23000000000000001,3,6,719,48,0.93041237113402064,0.33333333333333331,0.058823529411764705,0.10000000000000001,0.0082758620689655175,9,0.011597938144329897,6,48,2,102,0.13144329896907217,hypothetical; not empirically measured mine-specific costs,74,0.23;0.26;0.28;0.29;0.30;0.31;0.32;0.33;0.34;0.35;0.36;0.37;0.38;0.39;0.40;0.41;0.42;0.43;0.44;0.45;0.46;0.47;0.48;0.49;0.50;0.51;0.52;0.53;0.54;0.55;0.56;0.57;0.58;0.59;0.60;0.61;0.62;0.63;0.64;0.65;0.66;0.67;0.68;0.69;0.70;0.71;0.72;0.73;0.74;0.75;0.76;0.77;0.78;0.79;0.80;0.81;0.82;0.83;0.84;0.85;0.86;0.87;0.88;0.89;0.90;0.91;0.92;0.93;0.94;0.95;0.96;0.97;0.98;0.99,descriptive minimum on the held-out test set; not an optimal deployment threshold
Logistic Regression,0.55000000000000004,32,102,623,19,0.84407216494845361,0.23880597014925373,0.62745098039215685,0.34594594594594597,0.1406896551724138,134,0.17268041237113402,102,19,5,197,0.25386597938144329,hypothetical; not empirically measured mine-specific costs,1,0.55,descriptive minimum on the held-out test set; not an optimal deployment threshold
Random Forest,0.26000000000000001,23,79,646,28,0.86211340206185572,0.22549019607843138,0.45098039215686275,0.30065359477124182,0.10896551724137932,102,0.13144329896907217,79,28,5,219,0.28221649484536082,hypothetical; not empirically measured mine-specific costs,1,0.26,descriptive minimum on the held-out test set; not an optimal deployment threshold
Gradient Boosting,0.75,15,22,703,36,0.92525773195876293,0.40540540540540543,0.29411764705882354,0.34090909090909088,0.030344827586206897,37,0.047680412371134018,22,36,5,202,0.26030927835051548,hypothetical; not empirically measured mine-specific costs,1,0.75,descriptive minimum on the held-out test set; not an optimal deployment threshold
SVM,0.14999999999999999,15,45,680,36,0.89561855670103097,0.25,0.29411764705882354,0.27027027027027029,0.062068965517241378,60,0.077319587628865982,45,36,5,225,0.28994845360824745,hypothetical; not empirically measured mine-specific costs,1,0.15,descriptive minimum on the held-out test set; not an optimal deployment threshold
Logistic Regression,0.55000000000000004,32,102,623,19,0.84407216494845361,0.23880597014925373,0.62745098039215685,0.34594594594594597,0.1406896551724138,134,0.17268041237113402,102,19,10,292,0.37628865979381443,hypothetical; not empirically measured mine-specific costs,1,0.55,descriptive minimum on the held-out test set; not an optimal deployment threshold
Random Forest,0.14999999999999999,35,185,540,16,0.740979381443299,0.15909090909090909,0.68627450980392157,0.25830258302583026,0.25517241379310346,220,0.28350515463917525,185,16,10,345,0.44458762886597936,hypothetical; not empirically measured mine-specific costs,1,0.15,descriptive minimum on the held-out test set; not an optimal deployment threshold
Gradient Boosting,0.28999999999999998,35,200,525,16,0.72164948453608246,0.14893617021276595,0.68627450980392157,0.24475524475524477,0.27586206896551724,235,0.30283505154639173,200,16,10,360,0.46391752577319589,hypothetical; not empirically measured mine-specific costs,1,0.29,descriptive minimum on the held-out test set; not an optimal deployment threshold
SVM,0.12,17,62,663,34,0.87628865979381443,0.21518987341772153,0.33333333333333331,0.26153846153846155,0.085517241379310341,79,0.10180412371134021,62,34,10,402,0.51804123711340211,hypothetical; not empirically measured mine-specific costs,1,0.12,descriptive minimum on the held-out test set; not an optimal deployment threshold
Logistic Regression,0.55000000000000004,32,102,623,19,0.84407216494845361,0.23880597014925373,0.62745098039215685,0.34594594594594597,0.1406896551724138,134,0.17268041237113402,102,19,20,482,0.62113402061855671,hypothetical; not empirically measured mine-specific costs,1,0.55,descriptive minimum on the held-out test set; not an optimal deployment threshold
Random Forest,0.070000000000000007,43,311,414,8,0.58891752577319589,0.12146892655367232,0.84313725490196079,0.21234567901234569,0.42896551724137932,354,0.45618556701030927,311,8,20,471,0.60695876288659789,hypothetical; not empirically measured mine-specific costs,1,0.07,descriptive minimum on the held-out test set; not an optimal deployment threshold
Gradient Boosting,0.26000000000000001,37,233,492,14,0.68170103092783507,0.13703703703703704,0.72549019607843135,0.23052959501557632,0.32137931034482758,270,0.34793814432989689,233,14,20,513,0.66108247422680411,hypothetical; not empirically measured mine-specific costs,1,0.26,descriptive minimum on the held-out test set; not an optimal deployment threshold
SVM,0.040000000000000001,41,418,307,10,0.4484536082474227,0.089324618736383449,0.80392156862745101,0.16078431372549021,0.57655172413793099,459,0.59149484536082475,418,10,20,618,0.79639175257731953,hypothetical; not empirically measured mine-specific costs,1,0.04,descriptive minimum on the held-out test set; not an optimal deployment threshold
Logistic Regression,0.23999999999999999,51,527,198,0,0.32087628865979384,0.088235294117647065,1,0.16216216216216217,0.72689655172413792,578,0.74484536082474229,527,0,50,527,0.67912371134020622,hypothetical; not empirically measured mine-specific costs,1,0.24,descriptive minimum on the held-out test set; not an optimal deployment threshold
Random Forest,0.040000000000000001,45,402,323,6,0.47422680412371132,0.10067114093959731,0.88235294117647056,0.18072289156626506,0.55448275862068963,447,0.5760309278350515,402,6,50,702,0.90463917525773196,hypothetical; not empirically measured mine-specific costs,1,0.04,descriptive minimum on the held-out test set; not an optimal deployment threshold
Gradient Boosting,0.059999999999999998,51,641,84,0,0.17396907216494845,0.073699421965317924,1,0.13728129205921938,0.88413793103448279,692,0.89175257731958768,641,0,50,641,0.8260309278350515,hypothetical; not empirically measured mine-specific costs,1,0.06,descriptive minimum on the held-out test set; not an optimal deployment threshold
SVM,0.029999999999999999,51,714,11,0,0.079896907216494839,0.066666666666666666,1,0.125,0.98482758620689659,765,0.98582474226804129,714,0,50,714,0.92010309278350511,hypothetical; not empirically measured mine-specific costs,1,0.03,descriptive minimum on the held-out test set; not an optimal deployment threshold
Logistic Regression,0.23999999999999999,51,527,198,0,0.32087628865979384,0.088235294117647065,1,0.16216216216216217,0.72689655172413792,578,0.74484536082474229,527,0,100,527,0.67912371134020622,hypothetical; not empirically measured mine-specific costs,1,0.24,descriptive minimum on the held-out test set; not an optimal deployment threshold
