Model,Target alerts,Decision cutoff,Burden difference,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases
Logistic Regression,50,0.79993632182881558,0,15,35,690,36,0.90850515463917525,0.29999999999999999,0.29411764705882354,0.29702970297029702,0.048275862068965517,50,0.064432989690721643,35,36
Logistic Regression,100,0.63839915753564647,0,24,76,649,27,0.86726804123711343,0.23999999999999999,0.47058823529411764,0.31788079470198677,0.10482758620689656,100,0.12886597938144329,76,27
Logistic Regression,150,0.52475960439193559,0,32,118,607,19,0.82345360824742264,0.21333333333333335,0.62745098039215685,0.31840796019900497,0.16275862068965516,150,0.19329896907216496,118,19
Logistic Regression,200,0.45691877498176103,0,33,167,558,18,0.76159793814432986,0.16500000000000001,0.6470588235294118,0.26294820717131473,0.23034482758620689,200,0.25773195876288657,167,18
Logistic Regression,300,0.36997708001636298,0,37,263,462,14,0.64304123711340211,0.12333333333333334,0.72549019607843135,0.21082621082621084,0.3627586206896552,300,0.38659793814432991,263,14
Logistic Regression,400,0.31543884923676452,0,44,356,369,7,0.53221649484536082,0.11,0.86274509803921573,0.1951219512195122,0.49103448275862072,400,0.51546391752577314,356,7
Random Forest,50,0.37,0,13,37,688,38,0.90335051546391754,0.26000000000000001,0.25490196078431371,0.25742574257425743,0.051034482758620693,50,0.064432989690721643,37,38
Random Forest,100,0.26000000000000001,2,23,79,646,28,0.86211340206185572,0.22549019607843138,0.45098039215686275,0.30065359477124182,0.10896551724137932,102,0.13144329896907217,79,28
Random Forest,150,0.20000000000000001,-3,28,119,606,23,0.8170103092783505,0.19047619047619047,0.5490196078431373,0.28282828282828282,0.16413793103448276,147,0.18943298969072164,119,23
Random Forest,200,0.16,6,32,174,551,19,0.75128865979381443,0.1553398058252427,0.62745098039215685,0.24902723735408561,0.23999999999999999,206,0.2654639175257732,174,19
Random Forest,300,0.10000000000000001,-2,40,258,467,11,0.65335051546391754,0.13422818791946309,0.78431372549019607,0.22922636103151864,0.35586206896551725,298,0.38402061855670105,258,11
Random Forest,400,0.050000000000000003,13,44,369,356,7,0.51546391752577314,0.10653753026634383,0.86274509803921573,0.18965517241379309,0.50896551724137928,413,0.53221649484536082,369,7
Gradient Boosting,50,0.68546716044209188,0,15,35,690,36,0.90850515463917525,0.29999999999999999,0.29411764705882354,0.29702970297029702,0.048275862068965517,50,0.064432989690721643,35,36
Gradient Boosting,100,0.51403073287367351,0,20,80,645,31,0.85695876288659789,0.20000000000000001,0.39215686274509803,0.26490066225165565,0.1103448275862069,100,0.12886597938144329,80,31
Gradient Boosting,150,0.39164757907354941,0,26,124,601,25,0.8079896907216495,0.17333333333333334,0.50980392156862742,0.25870646766169153,0.17103448275862068,150,0.19329896907216496,124,25
Gradient Boosting,200,0.33115500764984135,0,30,170,555,21,0.75386597938144329,0.14999999999999999,0.58823529411764708,0.23904382470119523,0.23448275862068965,200,0.25773195876288657,170,21
Gradient Boosting,300,0.23083227519565136,0,37,263,462,14,0.64304123711340211,0.12333333333333334,0.72549019607843135,0.21082621082621084,0.3627586206896552,300,0.38659793814432991,263,14
Gradient Boosting,400,0.17321677458965209,0,41,359,366,10,0.52448453608247425,0.10249999999999999,0.80392156862745101,0.18181818181818182,0.49517241379310345,400,0.51546391752577314,359,10
SVM,50,0.1607784523607528,0,12,38,687,39,0.90077319587628868,0.23999999999999999,0.23529411764705882,0.23762376237623761,0.052413793103448278,50,0.064432989690721643,38,39
SVM,100,0.099845876640977785,0,18,82,643,33,0.85180412371134018,0.17999999999999999,0.35294117647058826,0.23841059602649006,0.11310344827586206,100,0.12886597938144329,82,33
SVM,150,0.078243903352422775,0,22,128,597,29,0.79768041237113407,0.14666666666666667,0.43137254901960786,0.21890547263681592,0.17655172413793102,150,0.19329896907216496,128,29
SVM,200,0.061940517808067121,0,28,172,553,23,0.74871134020618557,0.14000000000000001,0.5490196078431373,0.22310756972111553,0.23724137931034484,200,0.25773195876288657,172,23
SVM,300,0.04756642656632562,0,32,268,457,19,0.63015463917525771,0.10666666666666667,0.62745098039215685,0.18233618233618235,0.36965517241379309,300,0.38659793814432991,268,19
SVM,400,0.041642968928871427,0,35,365,360,16,0.509020618556701,0.087499999999999994,0.68627450980392157,0.15521064301552107,0.50344827586206897,400,0.51546391752577314,365,16
