Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Logistic Regression,Balanced weighting,1,1,0.75801282051282048,0.16697155191273763,24,338,362
Random Forest,Balanced weighting,1,1,0.67474112426035493,0.17148002659255268,24,338,362
Gradient Boosting,Balanced weighting,1,1,0.65680473372781067,0.17765368942694548,24,338,362
SVM,Balanced weighting,1,1,0.72768737672583828,0.18194547991677246,24,338,362
Logistic Regression,Balanced weighting,1,2,0.75530078895463515,0.19486209138348223,24,338,362
Random Forest,Balanced weighting,1,2,0.69773175542406307,0.16910675103143602,24,338,362
Gradient Boosting,Balanced weighting,1,2,0.67776134122287968,0.11835737992838513,24,338,362
SVM,Balanced weighting,1,2,0.64065581854043396,0.14865872147543954,24,338,362
Logistic Regression,Balanced weighting,1,3,0.78131163708086793,0.24708505860092461,24,338,362
Random Forest,Balanced weighting,1,3,0.72626972386587774,0.20019070500054703,24,338,362
Gradient Boosting,Balanced weighting,1,3,0.73816568047337283,0.31832769073246064,24,338,362
SVM,Balanced weighting,1,3,0.73027613412228787,0.21243860718521401,24,338,362
Logistic Regression,Balanced weighting,1,4,0.74401852328273732,0.2081011989901517,23,338,361
Random Forest,Balanced weighting,1,4,0.72067146899922818,0.14873916592098141,23,338,361
Gradient Boosting,Balanced weighting,1,4,0.73951633650630311,0.18457862608217779,23,338,361
SVM,Balanced weighting,1,4,0.7092873681502444,0.15438866295461601,23,338,361
Logistic Regression,Balanced weighting,1,5,0.72650840751730961,0.29846738009871721,24,337,361
Random Forest,Balanced weighting,1,5,0.78999752720079131,0.24980820260945028,24,337,361
Gradient Boosting,Balanced weighting,1,5,0.71105341246290799,0.24014153720222498,24,337,361
SVM,Balanced weighting,1,5,0.72910484668644893,0.22654302251805458,24,337,361
Logistic Regression,Balanced weighting,2,1,0.73680966469428011,0.22997197330196967,24,338,362
Random Forest,Balanced weighting,2,1,0.76756656804733714,0.18626811727020492,24,338,362
Gradient Boosting,Balanced weighting,2,1,0.68318540433925057,0.19328132610611953,24,338,362
SVM,Balanced weighting,2,1,0.6471893491124262,0.11109092381003249,24,338,362
Logistic Regression,Balanced weighting,2,2,0.73730276134122286,0.17816759736341692,24,338,362
Random Forest,Balanced weighting,2,2,0.698163214990138,0.17528306685544018,24,338,362
Gradient Boosting,Balanced weighting,2,2,0.78716715976331364,0.30946143174124618,24,338,362
SVM,Balanced weighting,2,2,0.75628698224852076,0.2081952811888898,24,338,362
Logistic Regression,Balanced weighting,2,3,0.76331360946745563,0.2027267169050378,24,338,362
Random Forest,Balanced weighting,2,3,0.71141518737672593,0.25004109308147793,24,338,362
Gradient Boosting,Balanced weighting,2,3,0.62974605522682436,0.16528505641246466,24,338,362
SVM,Balanced weighting,2,3,0.75530078895463515,0.30889200034066888,24,338,362
Logistic Regression,Balanced weighting,2,4,0.61036789297658867,0.10488681816240876,23,338,361
Random Forest,Balanced weighting,2,4,0.60097761770002578,0.11035757351717719,23,338,361
Gradient Boosting,Balanced weighting,2,4,0.60625160792384869,0.15727530967955405,23,338,361
SVM,Balanced weighting,2,4,0.59248777977874956,0.089507934965547084,23,338,361
Logistic Regression,Balanced weighting,2,5,0.85806132542037594,0.31199143782095812,24,337,361
Random Forest,Balanced weighting,2,5,0.79568496538081113,0.22564275612193921,24,337,361
Gradient Boosting,Balanced weighting,2,5,0.74332344213649859,0.19132620522659602,24,337,361
SVM,Balanced weighting,2,5,0.78165182987141435,0.15860033690624117,24,337,361
