row_index_zero_based,split,label
0,train,0
1,test,0
2,train,0
3,train,0
4,test,0
5,train,0
6,train,0
7,train,0
8,train,0
9,test,0
10,train,0
11,test,0
12,train,0
13,train,0
14,train,0
15,train,0
16,test,0
17,train,0
18,train,0
19,test,0
20,train,0
21,test,0
22,test,0
23,train,0
24,train,0
25,train,0
26,train,0
27,train,0
28,test,0
29,train,0
30,train,0
31,train,0
32,train,0
33,train,0
34,test,0
35,train,1
36,test,0
37,test,0
38,train,0
39,test,0
40,train,0
41,test,0
42,train,0
43,train,0
44,train,0
45,train,0
46,train,0
47,test,0
48,train,0
49,train,0
50,train,0
51,test,0
52,train,0
53,train,0
54,train,0
55,train,0
56,train,0
57,train,0
58,test,0
59,train,0
60,train,0
61,train,0
62,test,0
63,test,0
64,train,0
65,test,0
66,train,0
67,train,0
68,train,0
69,train,0
70,train,0
71,train,0
72,train,0
73,train,0
74,train,0
75,train,0
76,test,0
77,train,0
78,train,0
79,train,0
80,test,0
81,train,0
82,train,0
83,train,0
84,train,0
85,train,0
86,train,0
87,train,0
88,train,0
89,train,0
90,test,0
91,test,0
92,train,0
93,train,0
94,test,0
95,train,0
96,test,0
97,train,0
98,train,0
99,test,0
100,train,0
101,train,0
102,train,0
103,train,0
104,test,0
105,train,0
106,train,0
107,train,0
108,train,0
109,test,0
110,train,0
111,train,0
112,train,0
113,train,0
114,train,0
115,test,0
116,train,0
117,test,0
118,train,0
119,train,0
120,test,0
121,train,0
122,train,0
123,test,0
124,train,0
125,train,0
126,train,0
127,train,0
128,test,0
129,train,0
130,train,0
131,test,0
132,train,0
133,train,0
134,test,0
135,train,0
136,train,0
137,train,0
138,train,0
139,train,0
140,train,0
141,train,0
142,train,0
143,train,0
144,test,0
145,train,0
146,test,0
147,test,0
148,train,0
149,train,0
150,train,0
151,train,0
152,train,0
153,train,0
154,test,0
155,test,0
156,train,0
157,train,0
158,train,0
159,train,1
160,train,1
161,train,0
162,test,0
163,test,0
164,test,0
165,train,0
166,train,0
167,train,0
168,train,0
169,test,0
170,train,0
171,train,0
172,test,0
173,train,0
174,train,0
175,train,1
176,test,0
177,train,0
178,train,0
179,train,0
180,test,0
181,train,0
182,train,0
183,train,0
184,test,0
185,train,0
186,train,0
187,train,0
188,train,0
189,train,0
190,test,0
191,train,0
192,train,0
193,test,0
194,test,0
195,test,0
196,train,0
197,train,0
198,train,0
199,train,0
200,train,0
201,test,0
202,train,1
203,train,0
204,train,0
205,test,0
206,test,0
207,test,0
208,train,0
209,train,0
210,train,0
211,test,0
212,train,0
213,train,0
214,train,0
215,train,0
216,train,0
217,train,0
218,train,1
219,train,0
220,train,0
221,train,0
222,test,0
223,test,0
224,train,0
225,train,0
226,train,0
227,train,0
228,train,0
229,test,0
230,train,0
231,test,0
232,train,0
233,train,0
234,train,0
235,train,0
236,train,0
237,train,0
238,train,1
239,train,0
240,train,0
241,test,0
242,train,0
243,train,0
244,train,0
245,train,0
246,train,0
247,train,0
248,test,0
249,train,0
250,test,1
251,train,0
252,train,0
253,train,1
254,test,0
255,train,0
256,test,1
257,train,0
258,train,1
259,train,0
260,train,0
261,train,0
262,train,1
263,train,0
264,train,0
265,test,0
266,test,1
267,train,0
268,test,0
269,train,0
270,test,0
271,train,0
272,train,0
273,train,1
274,train,1
275,train,0
276,train,0
277,train,1
278,test,0
279,test,1
280,train,0
281,train,1
282,test,0
283,train,1
284,train,1
285,test,1
286,train,0
287,train,0
288,train,0
289,test,0
290,train,0
291,train,0
292,train,0
293,train,0
294,train,0
295,train,1
296,train,1
297,train,0
298,train,0
299,train,1
300,train,0
301,train,1
302,train,0
303,test,1
304,train,1
305,test,1
306,test,0
307,train,0
308,test,1
309,train,0
310,train,0
311,train,0
312,train,0
313,test,0
314,train,0
315,train,1
316,train,0
317,train,0
318,train,1
319,train,0
320,train,0
321,train,0
322,test,1
323,train,1
324,train,0
325,train,0
326,test,0
327,test,1
328,train,0
329,train,1
330,train,0
331,train,0
332,train,0
333,train,0
334,train,1
335,train,0
336,train,1
337,train,0
338,test,0
339,train,1
340,train,1
341,train,1
342,train,0
343,train,1
344,train,0
345,train,0
346,train,0
347,train,0
348,test,1
349,train,0
350,train,1
351,test,1
352,train,0
353,test,1
354,train,0
355,train,0
356,train,1
357,train,0
358,train,0
359,train,0
360,train,0
361,train,0
362,train,0
363,train,1
364,test,0
365,train,0
366,train,0
367,train,0
368,train,0
369,train,0
370,train,0
371,train,0
372,train,0
373,train,0
374,train,0
375,train,0
376,test,1
377,train,0
378,train,1
379,test,0
380,train,1
381,train,0
382,train,0
383,train,1
384,train,0
385,test,1
386,train,0
387,test,0
388,train,0
389,train,1
390,test,0
391,train,1
392,test,0
393,train,0
394,test,0
395,train,0
396,train,0
397,train,1
398,train,0
399,train,0
400,train,1
401,train,0
402,train,0
403,train,1
404,test,1
405,test,0
406,train,1
407,train,0
408,train,0
409,train,0
410,test,1
411,train,0
412,train,0
413,train,1
414,train,0
415,train,0
416,train,0
417,test,0
418,train,1
419,test,0
420,train,1
421,train,1
422,test,1
423,train,0
424,train,1
425,train,0
426,train,0
427,train,1
428,train,0
429,train,0
430,train,1
431,train,0
432,train,0
433,test,1
434,train,0
435,train,0
436,train,0
437,train,1
438,train,1
439,train,0
440,test,0
441,train,0
442,train,1
443,train,0
444,train,1
445,train,1
446,test,0
447,train,1
448,test,0
449,train,0
450,train,0
451,train,0
452,train,1
453,train,0
454,test,0
455,test,0
456,train,0
457,train,0
458,train,0
459,train,0
460,train,0
461,train,0
462,test,0
463,train,0
464,train,1
465,train,0
466,test,0
467,train,0
468,test,0
469,test,0
470,train,0
471,train,1
472,test,1
473,train,0
474,test,0
475,test,0
476,test,0
477,train,0
478,test,0
479,test,0
480,train,0
481,train,0
482,test,0
483,train,0
484,train,0
485,train,0
486,train,0
487,train,0
488,train,0
489,train,0
490,train,0
491,test,0
492,train,0
493,train,1
494,train,0
495,train,0
496,train,0
497,test,0
498,test,0
499,train,0
500,train,0
501,train,0
502,train,1
503,train,0
504,test,1
505,train,0
506,train,0
507,train,0
508,train,0
509,train,0
510,train,0
511,train,0
512,train,0
513,test,0
514,train,0
515,train,0
516,train,0
517,test,1
518,train,0
519,train,0
520,train,0
521,train,0
522,train,0
523,train,0
524,test,0
525,train,0
526,train,0
527,test,0
528,train,0
529,train,0
530,train,0
531,train,0
532,train,1
533,test,0
534,train,1
535,train,0
536,train,0
537,test,0
538,train,0
539,test,0
540,test,0
541,test,0
542,train,0
543,train,0
544,test,0
545,test,0
546,train,0
547,train,0
548,train,0
549,train,0
550,train,0
551,test,0
552,train,0
553,train,1
554,test,1
555,train,0
556,test,1
557,test,0
558,test,0
559,train,0
560,train,0
561,test,0
562,test,0
563,test,0
564,train,0
565,train,1
566,train,0
567,train,0
568,train,0
569,train,1
570,train,0
571,train,0
572,train,0
573,train,0
574,train,0
575,train,0
576,train,0
577,test,0
578,test,0
579,train,0
580,train,0
581,test,0
582,test,0
583,train,0
584,train,0
585,train,0
586,test,0
587,train,0
588,test,0
589,train,1
590,test,0
591,train,0
592,test,0
593,train,1
594,test,0
595,train,0
596,train,1
597,test,0
598,train,0
599,train,0
600,train,0
601,train,0
602,train,0
603,test,0
604,train,0
605,test,0
606,train,0
607,train,1
608,train,0
609,test,0
610,train,0
611,train,0
612,train,1
613,train,1
614,train,0
615,train,0
616,train,0
617,test,1
618,test,0
619,train,0
620,train,0
621,test,0
622,train,0
623,train,0
624,train,0
625,train,0
626,train,0
627,train,0
628,train,1
629,train,0
630,train,0
631,train,0
632,train,1
633,train,0
634,train,0
635,train,0
636,test,0
637,train,0
638,test,0
639,train,1
640,test,0
641,train,0
642,train,0
643,train,0
644,train,0
645,train,0
646,test,0
647,train,0
648,train,0
649,test,1
650,train,0
651,test,0
652,train,1
653,train,0
654,train,1
655,train,0
656,train,0
657,train,0
658,train,0
659,train,0
660,train,0
661,train,0
662,test,0
663,train,0
664,train,0
665,test,0
666,test,0
667,train,0
668,train,0
669,train,0
670,train,0
671,test,0
