Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases
Logistic Regression,0.01,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0
Logistic Regression,0.02,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0
Logistic Regression,0.029999999999999999,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0
Logistic Regression,0.040000000000000001,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0
Logistic Regression,0.050000000000000003,51,725,0,0,0.065721649484536085,0.065721649484536085,1,0.12333736396614269,1,776,1,725,0
Logistic Regression,0.059999999999999998,51,724,1,0,0.067010309278350513,0.06580645161290323,1,0.12348668280871671,0.99862068965517237,775,0.99871134020618557,724,0
Logistic Regression,0.070000000000000007,51,724,1,0,0.067010309278350513,0.06580645161290323,1,0.12348668280871671,0.99862068965517237,775,0.99871134020618557,724,0
Logistic Regression,0.080000000000000002,51,723,2,0,0.068298969072164942,0.06589147286821706,1,0.12363636363636364,0.99724137931034484,774,0.99742268041237114,723,0
Logistic Regression,0.089999999999999997,51,723,2,0,0.068298969072164942,0.06589147286821706,1,0.12363636363636364,0.99724137931034484,774,0.99742268041237114,723,0
Logistic Regression,0.10000000000000001,51,721,4,0,0.070876288659793812,0.066062176165803108,1,0.12393681652490887,0.99448275862068969,772,0.99484536082474229,721,0
Logistic Regression,0.11,51,718,7,0,0.074742268041237112,0.066319895968790635,1,0.12439024390243902,0.9903448275862069,769,0.990979381443299,718,0
Logistic Regression,0.12,51,717,8,0,0.07603092783505154,0.06640625,1,0.12454212454212454,0.98896551724137927,768,0.98969072164948457,717,0
Logistic Regression,0.13,51,716,9,0,0.077319587628865982,0.066492829204693613,1,0.12469437652811736,0.98758620689655174,767,0.98840206185567014,716,0
Logistic Regression,0.14000000000000001,51,716,9,0,0.077319587628865982,0.066492829204693613,1,0.12469437652811736,0.98758620689655174,767,0.98840206185567014,716,0
Logistic Regression,0.14999999999999999,51,715,10,0,0.078608247422680411,0.066579634464751958,1,0.12484700122399021,0.98620689655172411,766,0.98711340206185572,715,0
Logistic Regression,0.16,51,714,11,0,0.079896907216494839,0.066666666666666666,1,0.125,0.98482758620689659,765,0.98582474226804129,714,0
Logistic Regression,0.17000000000000001,51,706,19,0,0.090206185567010308,0.067371202113606338,1,0.12623762376237624,0.97379310344827585,757,0.97551546391752575,706,0
Logistic Regression,0.17999999999999999,51,671,54,0,0.13530927835051546,0.070637119113573413,1,0.13195342820181113,0.92551724137931035,722,0.93041237113402064,671,0
Logistic Regression,0.19,51,628,97,0,0.19072164948453607,0.07511045655375552,1,0.13972602739726028,0.86620689655172411,679,0.875,628,0
Logistic Regression,0.20000000000000001,51,592,133,0,0.23711340206185566,0.079315707620528766,1,0.14697406340057637,0.81655172413793109,643,0.82860824742268047,592,0
Logistic Regression,0.20999999999999999,51,567,158,0,0.26932989690721648,0.082524271844660199,1,0.15246636771300448,0.78206896551724137,618,0.79639175257731953,567,0
Logistic Regression,0.22,51,558,167,0,0.28092783505154639,0.083743842364532015,1,0.15454545454545454,0.76965517241379311,609,0.78479381443298968,558,0
