Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Logistic Regression,RandomOverSampler,1,1,0.75283530571992108,0.16729639120763123,24,338,362
Random Forest,RandomOverSampler,1,1,0.6936637080867849,0.18095802060290694,24,338,362
Gradient Boosting,RandomOverSampler,1,1,0.6659270216962524,0.17778516198918518,24,338,362
SVM,RandomOverSampler,1,1,0.71992110453648916,0.17665219970400861,24,338,362
Logistic Regression,RandomOverSampler,1,2,0.76121794871794868,0.19665694992516594,24,338,362
Random Forest,RandomOverSampler,1,2,0.69212278106508873,0.1406256931198703,24,338,362
Gradient Boosting,RandomOverSampler,1,2,0.67196745562130167,0.13612459623426693,24,338,362
SVM,RandomOverSampler,1,2,0.63954635108481261,0.14326485466291575,24,338,362
Logistic Regression,RandomOverSampler,1,3,0.7831607495069034,0.24621242655982331,24,338,362
Random Forest,RandomOverSampler,1,3,0.7077785996055227,0.20387658509596082,24,338,362
Gradient Boosting,RandomOverSampler,1,3,0.71622287968441822,0.21628837073471902,24,338,362
SVM,RandomOverSampler,1,3,0.73890532544378695,0.1862700385587078,24,338,362
Logistic Regression,RandomOverSampler,1,4,0.74208901466426547,0.21127474055605444,23,338,361
Random Forest,RandomOverSampler,1,4,0.70639310522253673,0.1502494305492259,23,338,361
Gradient Boosting,RandomOverSampler,1,4,0.72774633393362487,0.18402066334345152,23,338,361
SVM,RandomOverSampler,1,4,0.68536146128119368,0.14723711067493042,23,338,361
Logistic Regression,RandomOverSampler,1,5,0.72205736894164185,0.29508502901347999,24,337,361
Random Forest,RandomOverSampler,1,5,0.79463402571711172,0.2514204834578212,24,337,361
Gradient Boosting,RandomOverSampler,1,5,0.79018298714144419,0.28724772385499447,24,337,361
SVM,RandomOverSampler,1,5,0.72873392680514337,0.26189761894583435,24,337,361
Logistic Regression,RandomOverSampler,2,1,0.72435897435897456,0.21948440009711906,24,338,362
Random Forest,RandomOverSampler,2,1,0.77687376725838264,0.18196831866395793,24,338,362
Gradient Boosting,RandomOverSampler,2,1,0.65606508875739655,0.2097694364385678,24,338,362
SVM,RandomOverSampler,2,1,0.64262820512820507,0.11066158297018969,24,338,362
Logistic Regression,RandomOverSampler,2,2,0.73865877712031558,0.1742640088962088,24,338,362
Random Forest,RandomOverSampler,2,2,0.67819280078895461,0.13522106359412003,24,338,362
Gradient Boosting,RandomOverSampler,2,2,0.76559418145956615,0.28132189623587756,24,338,362
SVM,RandomOverSampler,2,2,0.7284270216962524,0.19341433991266752,24,338,362
Logistic Regression,RandomOverSampler,2,3,0.7516025641025641,0.20981881327065893,24,338,362
