Resample,Model,ROC-AUC,PR-AUC,Recall,Precision,Brier Score,Positive count,Negative count,Precision zero division applied,Undefined metric reason
1,Logistic Regression,0.80778904665314399,0.25494242775851611,0.70588235294117652,0.21176470588235294,0.16394297418591336,51,725,False,none
1,Random Forest,0.7955510480054091,0.30539423413201683,0.21568627450980393,0.36666666666666664,0.061991237113402056,51,725,False,none
1,Gradient Boosting,0.77509127789046661,0.38601378537188374,0.5490196078431373,0.25225225225225223,0.10573361822455053,51,725,False,none
1,SVM,0.6908451656524679,0.21677385047202097,0,0,0.058105677871157925,51,725,True,No positive predictions; precision defined as zero
2,Logistic Regression,0.77806626098715348,0.21515844153796426,0.60784313725490191,0.18343195266272189,0.17497039067313627,51,725,False,none
2,Random Forest,0.76002704530087895,0.26021646157650796,0.15686274509803921,0.25,0.066578221649484542,51,725,False,none
2,Gradient Boosting,0.72170385395537529,0.24103595728817218,0.35294117647058826,0.15652173913043479,0.11714447813690419,51,725,False,none
2,SVM,0.70150101419878297,0.14986953183941817,0,0,0.059479789112966905,51,725,True,No positive predictions; precision defined as zero
3,Logistic Regression,0.773657876943881,0.18717134305408994,0.62745098039215685,0.17679558011049723,0.17959480051129997,51,725,False,none
3,Random Forest,0.73345503718728877,0.1676119022419853,0.078431372549019607,0.16,0.069488402061855678,51,725,False,none
3,Gradient Boosting,0.74147396889790407,0.21492498115672343,0.33333333333333331,0.14912280701754385,0.11815032581511506,51,725,False,none
3,SVM,0.67286004056795135,0.15056009030963607,0,0,0.059665216543496317,51,725,True,No positive predictions; precision defined as zero
4,Logistic Regression,0.79104800540906017,0.20936771857956457,0.60784313725490191,0.18452380952380953,0.17852644247630628,51,725,False,none
4,Random Forest,0.76950642325895868,0.24881536846052235,0.17647058823529413,0.29999999999999999,0.06580451030927835,51,725,False,none
4,Gradient Boosting,0.72273157538877619,0.19689243659444242,0.35294117647058826,0.15929203539823009,0.11893758276082289,51,725,False,none
4,SVM,0.68781609195402305,0.24737967866196603,0,0,0.058118225110655522,51,725,True,No positive predictions; precision defined as zero
5,Logistic Regression,0.76803245436105483,0.25094408380739902,0.6470588235294118,0.22448979591836735,0.16137577854892238,51,725,False,none
5,Random Forest,0.71453684922244765,0.22712341771317224,0.13725490196078433,0.29166666666666669,0.063770876288659795,51,725,False,none
