Model,Method,Bin,Lower edge,Upper edge,N,Positive,Mean decision score,Observed positive fraction
Logistic Regression,10 quantile bins,1,0.056874846267559481,0.1858158208116541,78,0,0.16722506370489637,0
Logistic Regression,10 quantile bins,2,0.1858158208116541,0.20932503548185177,78,0,0.19612576816140409,0
Logistic Regression,10 quantile bins,3,0.20932503548185177,0.2553526702971014,77,2,0.23520769279818621,0.025974025974025976
Logistic Regression,10 quantile bins,4,0.2553526702971014,0.28889200755074051,78,3,0.27409059785920592,0.038461538461538464
Logistic Regression,10 quantile bins,5,0.28889200755074051,0.31998993824013078,77,5,0.30452319928513838,0.064935064935064929
Logistic Regression,10 quantile bins,6,0.31998993824013078,0.3634640107941855,78,4,0.34131740562412699,0.05128205128205128
Logistic Regression,10 quantile bins,7,0.3634640107941855,0.41998124971210055,77,4,0.38825130915764061,0.051948051948051951
Logistic Regression,10 quantile bins,8,0.41998124971210055,0.51571238653742524,78,1,0.465269640687833,0.01282051282051282
Logistic Regression,10 quantile bins,9,0.51571238653742524,0.70519851992391902,77,12,0.59855196068817729,0.15584415584415584
Logistic Regression,10 quantile bins,10,0.70519851992391902,0.9962889063886714,78,20,0.8416384978152166,0.25641025641025639
Random Forest,10 quantile bins,1,0,0,163,4,0,0.024539877300613498
Random Forest,10 quantile bins,3,0,0.01,75,2,0.01,0.026666666666666668
Random Forest,10 quantile bins,4,0.01,0.029999999999999999,91,0,0.026043956043956044,0
Random Forest,10 quantile bins,5,0.029999999999999999,0.050000000000000003,69,2,0.045072463768115932,0.028985507246376812
Random Forest,10 quantile bins,6,0.050000000000000003,0.089999999999999997,80,3,0.07425000000000001,0.037499999999999999
Random Forest,10 quantile bins,7,0.089999999999999997,0.14000000000000001,78,5,0.11794871794871796,0.064102564102564097
Random Forest,10 quantile bins,8,0.14000000000000001,0.19,73,7,0.16739726027397259,0.095890410958904104
Random Forest,10 quantile bins,9,0.19,0.29999999999999999,73,11,0.24671232876712332,0.15068493150684931
Random Forest,10 quantile bins,10,0.29999999999999999,0.92000000000000004,74,17,0.47756756756756752,0.22972972972972974
Gradient Boosting,10 quantile bins,1,0.014479753736902084,0.054354692094501764,78,0,0.037662932805662304,0
Gradient Boosting,10 quantile bins,2,0.054354692094501764,0.098292503060097736,78,4,0.081369713419349371,0.05128205128205128
Gradient Boosting,10 quantile bins,3,0.098292503060097736,0.12021975659546326,77,1,0.10955776864244174,0.012987012987012988
Gradient Boosting,10 quantile bins,4,0.12021975659546326,0.14471206757927302,78,1,0.13318951432923865,0.01282051282051282
Gradient Boosting,10 quantile bins,5,0.14471206757927302,0.17984578509348553,77,4,0.16205111634894948,0.051948051948051951
Gradient Boosting,10 quantile bins,6,0.17984578509348553,0.22032690366229962,78,3,0.19969174776026058,0.038461538461538464
Gradient Boosting,10 quantile bins,7,0.22032690366229962,0.29248003780263443,77,4,0.25636140119616041,0.051948051948051951
Gradient Boosting,10 quantile bins,8,0.29248003780263443,0.3865441469243624,78,7,0.33875239927744866,0.089743589743589744
Gradient Boosting,10 quantile bins,9,0.3865441469243624,0.57268355090200573,77,9,0.46727872513055735,0.11688311688311688
Gradient Boosting,10 quantile bins,10,0.57268355090200573,0.8985532728156268,78,18,0.72764218215528875,0.23076923076923078
SVM,10 quantile bins,1,0.019965971798207367,0.035023126445427211,78,0,0.032361568894311209,0
SVM,10 quantile bins,2,0.035023126445427211,0.037305411728482729,78,4,0.036141305753335309,0.05128205128205128
SVM,10 quantile bins,3,0.037305411728482729,0.03875086688506342,77,1,0.03799765740935631,0.012987012987012988
SVM,10 quantile bins,4,0.03875086688506342,0.039886111302594576,78,5,0.039321795653666468,0.064102564102564097
SVM,10 quantile bins,5,0.039886111302594576,0.041919478711085305,77,6,0.04082933602223672,0.07792207792207792
SVM,10 quantile bins,6,0.041919478711085305,0.046556251330590014,78,2,0.044104434847720302,0.02564102564102564
SVM,10 quantile bins,7,0.046556251330590014,0.057658857973406669,77,3,0.050570354907600368,0.03896103896103896
SVM,10 quantile bins,8,0.057658857973406669,0.076770352118748927,78,7,0.064684520557468275,0.089743589743589744
SVM,10 quantile bins,9,0.076770352118748927,0.12157875489936128,77,6,0.093453454890255833,0.07792207792207792
SVM,10 quantile bins,10,0.12157875489936128,0.27270119024651096,78,17,0.18073773179176775,0.21794871794871795
